Feature,Biological Layer,Total Cohorts,Cohorts Present,Total Algorithms,Algorithms Validating,Nomenclature,Signature,Decoded Genetic Element,Elements,CTAB,GSI,GFC,PFC,SCS,TNC,HRC,SMC,TMC,TIC,RCD,Combined Outcome,Protective Count,Risky Count,NS Count,RCD form,Omic feature,Phenotype,Expression,RSF Importance,RSF Validation,Boruta Importance,Boruta Validation,XGBoost Importance,XGBoost Validation,MTLR Importance,MTLR Validation,Total Validated Algorithms
LIHC-1064.5.3.P.3.42.63.2.4.5,Transcript,4,"LIHC_DFI_df160, LIHC_DSS_df160, LIHC_OS_df160, LIHC_PFI_df160",4,"Boruta, XGBoost, RSF, MTLR",LIHC-1064.5.3.P.3.42.63.2.4.5,ENST00000389805,(SQSTM1(1/16)),1,LIHC,1064,5,3,P,3,42,63,2,4,5,Risky,0,3,1,Apoptosis/Autophagy/Ferroptosis/Parthanatos/Autosis,Transcript,TSM,Overexpression,0.00702059,Validated (>0.005),23.6872293,Validated (>0.005),0.015883993,Validated (>0.005),0.230636499,Validated (>0.005),4
LIHC-272.5.3.N.3.26.26.3.4.1,Transcript,4,"LIHC_DFI_df160, LIHC_DSS_df160, LIHC_OS_df160, LIHC_PFI_df160",4,"Boruta, XGBoost, RSF, MTLR",LIHC-272.5.3.N.3.26.26.3.4.1,(ENST00000219235 + ENST00000368046 + ENST00000358647 + ENST00000418931 + ENST00000395388 + ENST00000394652 + ENST00000550948),(CCL22(1/1)) + (CD48(1/3)) + (GIMAP5(1/7)) + (`HLA-DPB1`(1/11)) + (`HLA-DRA`(1/2)) + (IL16(1/15)) + (SELPLG(1/3)),7,LIHC,272,5,3,N,3,26,26,3,4,1,Protective,2,0,2,Apoptosis,Transcript,TSM,Overexpression,0.005849758,Validated (>0.005),20.32942411,Validated (>0.005),0.006661071,Validated (>0.005),0.082831284,Validated (>0.005),4
LUSC-669.5.3.N.2.44.44.1.4.1,Transcript,4,"LUSC_DFI_df147, LUSC_DSS_df147, LUSC_OS_df147, LUSC_PFI_df147",4,"Boruta, XGBoost, RSF, MTLR",LUSC-669.5.3.N.2.44.44.1.4.1,(ENST00000542450 + ENST00000515399 + ENST00000245787 + ENST00000252485 + ENST00000495509 + ENST00000580497 + ENST00000358598 + ENST00000376447 + ENST00000471324 + ENST00000530607 + ENST00000612509 + ENST00000383791 + ENST00000493709),(CADM1(1/21)) + (CTBP1(1/22)) + (INSIG2(1/7)) + (NECTIN2(1/6)) + (PHF1(1/11)) + (PMP22(1/31)) + (PRKAR1A(1/25)) + (RASEF(1/2)) + (RGS3(1/31)) + (RPS6KA1(1/20)) + (SEMA3B(1/15)) + (SH3BP5(1/9)) + (SORBS2(1/73)),13,LUSC,669,5,3,N,2,44,44,1,4,1,Meaningful Risky,0,4,0,Apoptosis,Transcript,TSM,Underexpression,0.007887874,Validated (>0.005),12.25070081,Validated (>0.005),0.010851533,Validated (>0.005),0.127198542,Validated (>0.005),4
OV-181.5.3.N.3.1.31.2.4.1,Transcript,4,"OV_DFI_df377, OV_DSS_df377, OV_OS_df377, OV_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR",OV-181.5.3.N.3.1.31.2.4.1,ENST00000256951,(EMP1(1/12)),1,OV,181,5,3,N,3,1,31,2,4,1,Risky,0,1,3,Ferroptosis,Transcript,TSM,Overexpression,0.008121384,Validated (>0.005),28.27199087,Validated (>0.005),0.034741855,Validated (>0.005),0.134461942,Validated (>0.005),4
PAAD-1084.5.2.N.3.44.43.3.4.4,Transcript,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",PAAD-1084.5.2.N.3.44.43.3.4.4,ENST00000419140,(PHB1(1/16)),1,PAAD,1084,5,2,N,3,44,43,3,4,4,Meaningful Risky,0,4,0,Anoikis/Apoptosis/Autophagy/Cellular senescence,Transcript,MSI,Overexpression,0.006931915,Validated (>0.005),10.57689641,Validated (>0.005),0.010582421,Validated (>0.005),0.182558732,Validated (>0.005),4
PAAD-1245.5.3.N.2.26.9.2.4.3,Transcript,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"RSF, XGBoost, Boruta, MTLR",PAAD-1245.5.3.N.2.26.9.2.4.3,ENST00000626200,(SNHG14(1/142)),1,PAAD,1245,5,3,N,2,26,9,2,4,3,Protective,2,0,2,Apoptosis/Autophagy/Ferroptosis,Transcript,TSM,Underexpression,0.01072931,Validated (>0.005),11.45602341,Validated (>0.005),0.010240779,Validated (>0.005),0.137469879,Validated (>0.005),4
PAAD-302.5.3.N.3.44.14.3.4.4,Transcript,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-302.5.3.N.3.44.14.3.4.4,(ENST00000301178 + ENST00000359092),(AXL(2/5)),2,PAAD,302,5,3,N,3,44,14,3,4,4,Meaningful Risky,0,4,0,Apoptosis/Efferocytosis/Necroptosis/Necrosis,Transcript,TSM,Overexpression,0.013599072,Validated (>0.005),2.05294003,Validated (>0.005),0.011816788,Validated (>0.005),0.095926682,Validated (>0.005),4
SARC-103.5.3.N.1.26.26.2.4.1,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, Boruta, MTLR, RSF",SARC-103.5.3.N.1.26.26.2.4.1,(ENST00000556154 + ENST00000249373 + ENST00000566034),(FBLN5(1/16)) + (SMO(1/5)) + (SOX8(1/6)),3,SARC,103,5,3,N,1,26,26,2,4,1,Protective,2,0,2,Apoptosis,Transcript,TSM,Unchanged,0.006161595,Validated (>0.005),8.587533552,Validated (>0.005),0.010833485,Validated (>0.005),0.040493886,Validated (>0.005),4
SARC-234.5.3.N.1.71.64.3.4.1,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-234.5.3.N.1.71.64.3.4.1,ENST00000272233,(RHOB(1/1)),1,SARC,234,5,3,N,1,71,64,3,4,1,Protective,3,0,1,Apoptosis,Transcript,TSM,Unchanged,0.00832588,Validated (>0.005),5.626498363,Validated (>0.005),0.005443789,Validated (>0.005),0.087588257,Validated (>0.005),4
SARC-248.5.3.P.1.35.31.2.4.2,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, RSF, Boruta, MTLR",SARC-248.5.3.P.1.35.31.2.4.2,ENST00000315091,(TARDBP(1/38)),1,SARC,248,5,3,P,1,35,31,2,4,2,Risky,0,3,1,Apoptosis/Autophagy,Transcript,TSM,Unchanged,0.009459389,Validated (>0.005),13.02702551,Validated (>0.005),0.012467892,Validated (>0.005),0.046809906,Validated (>0.005),4
