cohort	n	n_events	c_mvl_obs	c_mvl_null_med	c_mvl_null_lo	c_mvl_null_hi	p_mvl	c_xgb_obs	c_xgb_null_med	c_xgb_null_lo	c_xgb_null_hi	p_xgb
GBM_OS_df017	177	142	0.920752042688011	0.501837977009176	0.449554632542404	0.555806059692538	0	0.998332499583125	0.500863568872824	0.448477103532985	0.558402481828268	0
GBM_PFI_df017	177	144	0.852758382567329	0.499527259027943	0.442900956781213	0.557307152217799	0	0.998542162203637	0.499720270711157	0.444719282385894	0.556768798957613	0
HNSC_DFI_df017	128	28	0.5	0.5	0.5	0.5	1	1	0.495151720917085	0.372992045515467	0.630328951536662	0
HNSC_DSS_df017	497	133	0.98568162398097	0.500206512749705	0.445690360889413	0.555834076943873	0	0.999445740283134	0.500833344814367	0.445602295642457	0.556988564860134	0
HNSC_OS_df017	523	223	0.978605310429999	0.501402261586516	0.459153332804442	0.543005363410426	0	0.997993151453913	0.501726304664202	0.459485489787106	0.541739834627085	0
HNSC_PFI_df017	523	200	0.969839663190013	0.497983353415801	0.453510791329772	0.546616721273206	0	0.99826900790682	0.497349701387077	0.451028783408576	0.550193433704945	0
KIRC_DFI_df161	164	36	0.917890320647288	0.500009004691691	0.389270749207557	0.608176301541591	0	1	0.499209993193788	0.392481598787047	0.608730072349795	0
KIRC_DSS_df161	729	159	0.867244846656611	0.499840849208346	0.445587361849335	0.553317661035318	0	0.999384112619407	0.499595582435848	0.449478133914356	0.556680146640724	0
KIRC_OS_df161	749	254	0.818542658978858	0.499548493190503	0.462218807016787	0.538969685136471	0	0.997986128520097	0.500680841159987	0.462588474681801	0.542845321952463	0
KIRC_PFI_df161	747	260	0.831403264299329	0.500428691768371	0.45904585168075	0.540475975714145	0	0.997701536046642	0.500447232852061	0.460599024124089	0.540419594254698	0
KIRP_DFI_df377	184	30	0.905575791538246	0.502511816603147	0.389741146284831	0.62450256976402	0	0.989072569347156	0.504085790904176	0.384840501426824	0.621554855986975	0
KIRP_DSS_df377	286	28	0.964285714285714	0.499087380034442	0.377797071072388	0.617715848620669	0	0.999811035525321	0.501302422585622	0.371391971729798	0.614858532112654	0
KIRP_OS_df377	290	44	0.931136835856337	0.502284590252532	0.40176818033705	0.60460611595064	0	0.998812704066489	0.502126798271821	0.408347617343668	0.599589864166927	0
KIRP_PFI_df377	289	59	0.912633451957295	0.503220340330761	0.410962468723834	0.583609850910097	0	0.994306049822064	0.502925591855744	0.420188095283691	0.58405817166868	0
LAML_OS_df377	161	104	0.716567683800942	0.500119714098206	0.436528784043113	0.560562951441194	0	0.933544951873848	0.500090700205587	0.43424911226102	0.562175151575267	0
LGG_DFI_df374	142	29	0.892037127503664	0.496771466375594	0.379199128335826	0.613010624295311	0	1	0.49628247348348	0.373850116272781	0.617361538870008	0
LGG_DSS_df374	537	127	0.918387875536481	0.50057041762333	0.439435402403056	0.552551876218407	0	0.99956410944206	0.498744253402959	0.441991217648648	0.554808535778488	0
