cohort	model	param	value
BRCA_PFI_df008	XGBoost	nthread	1
BRCA_PFI_df008	XGBoost	validate_parameters	TRUE
BRCA_PFI_df008	XGBoost	nrounds	500
BRCA_PFI_df008	RSF	ntree	1000
BRCA_PFI_df008	RSF	mtry	31
BRCA_PFI_df008	RSF	nodesize	15
BRCA_PFI_df008	MTLR	nintervals	default
BRCA_PFI_df008	MTLR	regularization	C1=1
BRCA_PFI_df008	MVL	weight_RSF	0.25
BRCA_PFI_df008	MVL	weight_XGBoost	0.25
BRCA_PFI_df008	MVL	weight_MTLR	0.25
BRCA_PFI_df008	MVL	weight_Boruta	0.25
CESC_DFI_df017	XGBoost	objective	survival:cox
CESC_DFI_df017	XGBoost	eval_metric	cox-nloglik
CESC_DFI_df017	XGBoost	eta	0.05
CESC_DFI_df017	XGBoost	max_depth	4
CESC_DFI_df017	XGBoost	min_child_weight	3
CESC_DFI_df017	XGBoost	subsample	0.8
CESC_DFI_df017	XGBoost	nthread	1
CESC_DFI_df017	XGBoost	validate_parameters	TRUE
CESC_DFI_df017	XGBoost	nrounds	500
CESC_DFI_df017	RSF	ntree	1000
CESC_DFI_df017	RSF	mtry	16
CESC_DFI_df017	RSF	nodesize	15
CESC_DFI_df017	MTLR	nintervals	default
CESC_DFI_df017	MTLR	regularization	C1=10
CESC_DFI_df017	MVL	weight_XGBoost	3.494078
CESC_DFI_df017	MVL	weight_MTLR	3.379384
CESC_DFI_df017	MVL	weight_RSF	-2.560686
CESC_DFI_df017	MVL	weight_Boruta	-0.203014
CESC_DSS_df017	XGBoost	objective	survival:cox
CESC_DSS_df017	XGBoost	eval_metric	cox-nloglik
CESC_DSS_df017	XGBoost	eta	0.05
CESC_DSS_df017	XGBoost	max_depth	4
CESC_DSS_df017	XGBoost	min_child_weight	3
CESC_DSS_df017	XGBoost	subsample	0.8
CESC_DSS_df017	XGBoost	nthread	1
CESC_DSS_df017	XGBoost	validate_parameters	TRUE
CESC_DSS_df017	XGBoost	nrounds	500
CESC_DSS_df017	RSF	ntree	1000
CESC_DSS_df017	RSF	mtry	16
CESC_DSS_df017	RSF	nodesize	15
CESC_DSS_df017	MTLR	nintervals	default
CESC_DSS_df017	MTLR	regularization	C1=1
CESC_DSS_df017	MVL	weight_RSF	0.25
CESC_DSS_df017	MVL	weight_XGBoost	0.25
CESC_DSS_df017	MVL	weight_MTLR	0.25
CESC_DSS_df017	MVL	weight_Boruta	0.25
CESC_OS_df017	XGBoost	objective	survival:cox
CESC_OS_df017	XGBoost	eval_metric	cox-nloglik
CESC_OS_df017	XGBoost	eta	0.05
CESC_OS_df017	XGBoost	max_depth	4
CESC_OS_df017	XGBoost	min_child_weight	3
CESC_OS_df017	XGBoost	subsample	0.8
CESC_OS_df017	XGBoost	nthread	1
CESC_OS_df017	XGBoost	validate_parameters	TRUE
CESC_OS_df017	XGBoost	nrounds	500
CESC_OS_df017	RSF	ntree	1000
CESC_OS_df017	RSF	mtry	16
CESC_OS_df017	RSF	nodesize	15
CESC_OS_df017	MTLR	nintervals	default
CESC_OS_df017	MTLR	regularization	C1=0.1
CESC_OS_df017	MVL	weight_RSF	0.25
CESC_OS_df017	MVL	weight_XGBoost	0.25
CESC_OS_df017	MVL	weight_MTLR	0.25
CESC_OS_df017	MVL	weight_Boruta	0.25
CESC_PFI_df017	XGBoost	objective	survival:cox
CESC_PFI_df017	XGBoost	eval_metric	cox-nloglik
CESC_PFI_df017	XGBoost	eta	0.05
CESC_PFI_df017	XGBoost	max_depth	4
CESC_PFI_df017	XGBoost	min_child_weight	3
CESC_PFI_df017	XGBoost	subsample	0.8
CESC_PFI_df017	XGBoost	nthread	1
CESC_PFI_df017	XGBoost	validate_parameters	TRUE
CESC_PFI_df017	XGBoost	nrounds	500
CESC_PFI_df017	RSF	ntree	1000
CESC_PFI_df017	RSF	mtry	16
CESC_PFI_df017	RSF	nodesize	15
CESC_PFI_df017	MTLR	nintervals	default
CESC_PFI_df017	MTLR	regularization	C1=0.01
CESC_PFI_df017	MVL	weight_RSF	0.25
CESC_PFI_df017	MVL	weight_XGBoost	0.25
CESC_PFI_df017	MVL	weight_MTLR	0.25
CESC_PFI_df017	MVL	weight_Boruta	0.25
COAD_DSS_df368	XGBoost	objective	survival:cox
COAD_DSS_df368	XGBoost	eval_metric	cox-nloglik
COAD_DSS_df368	XGBoost	eta	0.05
COAD_DSS_df368	XGBoost	max_depth	4
COAD_DSS_df368	XGBoost	min_child_weight	3
COAD_DSS_df368	XGBoost	subsample	0.8
COAD_DSS_df368	XGBoost	nthread	1
COAD_DSS_df368	XGBoost	validate_parameters	TRUE
COAD_DSS_df368	XGBoost	nrounds	500
COAD_DSS_df368	RSF	ntree	1000
COAD_DSS_df368	RSF	mtry	24
COAD_DSS_df368	RSF	nodesize	15
COAD_DSS_df368	MTLR	nintervals	default
COAD_DSS_df368	MTLR	regularization	C1=10
COAD_DSS_df368	MVL	weight_RSF	0.25
COAD_DSS_df368	MVL	weight_XGBoost	0.25
COAD_DSS_df368	MVL	weight_MTLR	0.25
COAD_DSS_df368	MVL	weight_Boruta	0.25
COAD_OS_df368	XGBoost	objective	survival:cox
COAD_OS_df368	XGBoost	eval_metric	cox-nloglik
COAD_OS_df368	XGBoost	eta	0.05
COAD_OS_df368	XGBoost	max_depth	4
COAD_OS_df368	XGBoost	min_child_weight	3
COAD_OS_df368	XGBoost	subsample	0.8
COAD_OS_df368	XGBoost	nthread	1
COAD_OS_df368	XGBoost	validate_parameters	TRUE
COAD_OS_df368	XGBoost	nrounds	500
COAD_OS_df368	RSF	ntree	1000
COAD_OS_df368	RSF	mtry	24
COAD_OS_df368	RSF	nodesize	15
COAD_OS_df368	MTLR	nintervals	default
COAD_OS_df368	MTLR	regularization	C1=100
COAD_OS_df368	MVL	weight_RSF	0.25
COAD_OS_df368	MVL	weight_XGBoost	0.25
COAD_OS_df368	MVL	weight_MTLR	0.25
COAD_OS_df368	MVL	weight_Boruta	0.25
COAD_PFI_df368	XGBoost	objective	survival:cox
COAD_PFI_df368	XGBoost	eval_metric	cox-nloglik
